channel_name,total_video_count,total_views,total_subs,creation_date,channel_id,Type,Gender
Dr. Izzy Sealey,77,18173701,550000,6/3/2014,UCbOhZ3HUP0eqbQgGYSMHo1w,Expert,F
Study To Success,237,196069545,1940000,6/20/2016,UC01sF0wMt4tB2O9krpJ_8Tg,Student,F
The Infographics Show,4680,5638543218,13800000,2/26/2011,UCfdNM3NAhaBOXCafH7krzrA,Show,nan
Motivation2Study,526,315191386,4300000,3/4/2017,UC8PICQUP0a_HsrA9S4IIgWw,Show,nan
English with Emma ? engVid,240,233389658,4600000,12/8/2011,UCVBErcpqaokOf4fI5j73K_w,Expert,F
Hafu Go,301,1289325502,4530000,2/8/2017,UCXMVaxrax7RNDPdfRrXXgtQ,Student,M
christine lee,112,10223011,131000,4/21/2014,UCUzy4w3TfWgoXTLXyXwEbHw,Vlogger,F
Sienna Santer,83,53542961,728000,1/11/2014,UCn6BJylSkl-Gd66qepnmHzg,Vlogger,F
Hannah Elise,310,74125564,798000,11/17/2013,UCT9y7nOBdqfWuaZJ_x9mPkA,Vlogger,F
carina,134,30608574,420000,11/14/2015,UCECGTK7DkU7I8SSfBItn3uw,Vlogger,F
Janice Studies,108,72385946,585000,7/12/2018,UCpcqUJ8sf8a40TTBpu6Ca4A,Aesthetic,F
Melina Kim,179,901121,2460,3/24/2014,UCG87YG1V412ZqJCkEVpOxHw,Vlogger,F
Maya Lee,327,60369896,518000,9/5/2008,UC5RByeSeEN_aGhg1fq0TQWA,Vlogger,F
Michael Gongwer,19,711299,10800,12/19/2018,UCCpI4iWqlnnoLk8N1-g_8Dw,Student,M
Christylynn,52,4209428,44100,4/15/2015,UC9ws0dPi6j40E8kzfP8ixdQ,Aesthetic,F
IamJustOlena,409,43503625,514000,10/21/2009,UCXyp4JB_NONE11vAhaEzdbw,Vlogger,F
UnJaded Jade,472,102998860,938000,8/14/2014,UC4-uObu-mfafJyxxZFEwbvQ,Vlogger,F
"Benjamin Keep, PhD, JD",85,2899878,82100,9/24/2013,UChY0i0rm9FSA5_M6pADke1w,Expert,M
Ali Abdaal,812,395031832,5160000,11/20/2007,UCoOae5nYA7VqaXzerajD0lg,Student,M
Tiny Medicine,78,4978779,56600,8/15/2017,UCtfzxaW5ua7X0NfYn-RSx3w,Show,nan
Justin Sung,614,25885431,445000,3/19/2020,UC2Zs9v2hL2qZZ7vsAENsg4w,Expert,M
Cajun Koi Academy,517,78893105,1180000,5/30/2019,UCBX_-ls-dXuhFNSWSXcHrTA,Expert,M
wAmy,249,12496865,139000,2/17/2020,UCb9fs9s67BXlX7rXVzRf5cQ,Student,F
studyquill,340,89506427,1160000,9/10/2016,UC-ZQaezPlUTe94-7buWtIfA,Aesthetic,F
CrashCourse,1510,1915437953,15300000,5/20/2006,UCX6b17PVsYBQ0ip5gyeme-Q,Show,nan
Colin Galen,137,7973910,211000,4/18/2018,UCpvS3EykHW--l0ogUhMEjEw,Expert,M
Memorize Academy,73,28049006,464000,2/18/2012,UCGGtl3nZmwzcfwHY4ck_G0Q,Show,nan
fayefilms,109,69013119,1110000,7/2/2020,UCsJfDna-9xsG-NmM0kwgEkg,Vlogger,F
Mike Dee,511,81681274,1160000,11/19/2016,UCl2d5Qgfcactbzkfpp0ayug,Expert,M
jspark,87,3019387,66700,12/14/2019,UCc_B2QPi8lbTeCtmMAHXp2A,Student,M
tbhstudying,316,21286241,297000,7/26/2016,UCc1tG1M1qP4IE6AQLXXWyww,Aesthetic,F
elviona halim,22,9614130,97200,7/27/2020,UCRpH6GPQ3MgZPFSd3IDC5cw,Vlogger,F
Annie Long,426,46996799,466000,1/1/2015,UCZ1FakYmxc5AY4naNIybwvg,Student,F
Thomas Frank,278,177403785,2950000,12/2/2006,UCG-KntY7aVnIGXYEBQvmBAQ,Expert,M
Nathan Wu,122,9087046,156000,6/5/2015,UC9rM90UUCYUtLEK2XpKCEew,Student,M
Sprouts,156,121572910,1600000,11/4/2014,UC-RKpEc4eE9PwJaupN91xYQ,Show,nan
QualityAdvice,3,495290,5100,8/26/2023,UC99ts8lyzd8l1AJMReZLA_g,Show,nan
AsapSCIENCE,478,1886380337,10500000,5/28/2012,UCC552Sd-3nyi_tk2BudLUzA,Show,nan
Heimler's History,557,94053388,651000,3/6/2017,UC_bOoi0e3L3SJ1xx5TZWHPw,Expert,M
Elizabeth Filips,131,41740319,942000,11/13/2020,UCUFFHXvzAMRSD8Bq4bJppxQ,Student,F
Neuro Lifestyle,271,229850100,582000,7/18/2022,UCh5b6lKQNg97HmWcvlHMLuQ,Expert,M
TEDx Talks,209709,7692456763,40000000,6/23/2009,UCsT0YIqwnpJCM-mx7-gSA4Q,Show,nan
Mattias Pilhede,83,48301261,587000,1/9/2014,UCIGRhqYssT6IGPYOnZBFYKw,Expert,M
Julian Lin,17,751545,9840,10/26/2023,UCL5PX6xQ0KBim6eQfDU74Qw,Student,M
Python Programmer,206,15092212,423000,8/16/2008,UC68KSmHePPePCjW4v57VPQg,Expert,M
Collin The Chad,24,5426969,135000,3/12/2023,UClvdIQwkgwMFwyjsDZoi-4g,Student,M
Jet James,6,325840,8410,12/12/2017,UC2VZ1RURK8QmOBdBMZaEK8A,Student,M
Underworld Sent,9,456064,14700,3/28/2023,UChRsWYRB7wthB1AXLu8_d1g,Show,M
Jeffrey Kaplan,97,22216998,417000,2/19/2013,UC_hukbByJP7OZ3Xm2tszacQ,Expert,M
The Math Sorcerer,8406,98064223,806000,9/10/2014,UCr7lmzIk63PZnBw3bezl-Mg,Expert,M
TED-Ed,2126,3831533571,19500000,3/1/2011,UCsooa4yRKGN_zEE8iknghZA,Show,nan
jay skullz,85,12997857,246000,7/1/2008,UCYCO3Kifwg56zhus3XXiAVg,Student,M
Gohar Khan,460,1925915195,3360000,9/22/2013,UCPk2s5c4R_d-EUUNvFFODoA,Student,M
Addison Yeh,164,791088,11000,11/22/2022,UCsjOmrSvz75PuibB-g5G2Lw,Student,M
Salim Ahmed,24,2686520,56100,7/16/2022,UCvie4ROz0dS7_pnwQHRZzrw,Student,M
Frank Buck,318,563687,12800,1/31/2007,UC16GPsLMC1nqRHxe0g58GFw,Expert,M
Zeliha Akpinar,36,36836964,666000,6/1/2014,UChME7blpRpX1ViN-oPBpNmw,Student,F
secretlifeofme,5,46738,1400,10/19/2021,UCISD4trZBuWQsXxvPlarZkQ,Aesthetic,F
The charming girl??,45,79629,289,7/31/2022,UC2OESmdj-5C4L7eBa2BQEzA,Aesthetic,F
MNA AESTHETIC ,25,7403,137,12/11/2023,UCM4KMvqHCFyvPKspaJ41Vsw,Aesthetic,F
dreamyy,7,68901,1340,9/1/2023,UCDNsd4WrqZ3HAZmIqLw_AbQ,Aesthetic,F
lemonquac,50,974046,13100,4/30/2020,UCB1Nct6wPIT0JJF2MKerntA,Vlogger,F
Unsolicited advice,122,2764640,64000,1/27/2023,UCW71hQg1kDxmFIfijA8dL0Q,Student,M
Anthony Zhang,58,399332,6290,9/30/2015,UCXHqeBylMRPMq75v7nYZ_GA,Student,M
"Jake Gibbons, MD",37,178931,4370,3/20/2022,UC6TTM0jpkkrXMUvxj3Xu6gg,Expert,M
Eunice Chou,301,316258,2870,1/6/2011,UCaISCtoeqgr51IYdjU8Fqng,Expert,F
iCanStudy,24,1116816,36200,2/22/2021,UCjmynbA3C3Tm0koVy_8pfLw,Show,nan
Ravin Young,20,166635,2730,9/7/2013,UCkTji8RaVodQQw3uIHQ_jwA,Student,M
Melvin Fung,240,1762818,10300,12/17/2015,UC_IPp4CDWKdp6vOQn4-8OrA,Student,M
Penrose,85,346371,7950,10/19/2017,UCCnRgdvs5REvtEbOtivzawQ,Student,M
Han Zhango,15,3008401,52300,8/5/2023,UCvyaZhkGWT2qvBRsta2jBgQ,Student,F
jacobcdef,16,37566,822,5/12/2013,UC1K9tT_lZXt4xc2nEi0U9ug,Student,M
Markus studies,7,62005,1400,11/23/2023,UC5orBSKRhEX7DjYeeBjgC2w,Student,M
Charlotte's Diary,12,188600,4160,8/6/2023,UCV70u5JWgLRIxtoW0KXeAFw,Student,F
Talks at Google,5487,298268461,2240000,12/19/2006,UCbmNph6atAoGfqLoCL_duAg,Show,nan
Emo Analysis,15,4191963,72200,4/14/2021,UCC4-dg6m8EaY7LEwjdyjkSQ,Show,M
The Growth Code,28,31293,789,6/29/2023,UC1TyTI7hNAk6VwQfP7U6waQ,Show,nan
Toplix,12,84960,1640,6/27/2021,UC6moUG6B1S2ymTE-rblg-1Q,Show,M
Forge Advisors,36,18152,428,9/25/2023,UC9_72vwRjZjGkjXY5x9Kaug,Show,nan
Smile With Sola,105,3115642,51100,1/27/2018,UCDbD2am5snyt6Hl-8PZWvKw,Student,F
FROM UB,99,82355,1430,7/15/2023,UC-WNC8QyZLcf_Tgidf6ujXw,Show,F
Miss Angler,264,6631724,123000,11/1/2020,UCjA2nEpHzkvVjROX-rqzdzg,Expert,F
Jun Yuh,241,25546801,229000,12/13/2022,UClDcKhHgT3x88I0q7BOT0ow,Student,M
filmsbyand :),44,40124,987,4/19/2022,UCdgOyaMxEhA9EzHmjF_3qOg,Student,F
tonianne,4,204994,6470,1/15/2023,UCzwY7Ovv3bPpbwlStb1UlMA,Student,F
Eve Cornwell,74,26246877,364000,4/30/2013,UCM8qRGoiaLwmMv31L7xeeEQ,Student,F
Kaelyn Grace Apple | Historian in Training,455,6418127,103000,9/24/2011,UCrD1Qi9M48e5o9fSC3vRdXw,Student,F
Vicky Zhao [BEEAMP],129,5909434,172000,4/19/2019,UC1CXs5dtO8_Zrsm-48saJfg,Expert,F
emiscraycray,12,154385,5130,1/26/2020,UCn_SEuGwxM7a_BZkQhq6MqA,Aesthetic,F
Quantum Project - Tharun Speaks,13,6637823,231000,3/19/2023,UCQIV48SRYDq2SNv56zyjU2w,Student,M
Scott Young,214,3795604,81100,5/14/2009,UCDP05_kNaT6yuBI5ilxKOew,Expert,M
Study With Britney,804,1120245485,2640000,4/14/2021,UC8Ct1rYrJQINE2THhOMyCwg,Student,F
Jim Kwik,671,51541590,1410000,2/1/2009,UCIm6PH37h6wUs_q7GR0LNtw,Expert,M
Ruby Granger,799,119731402,848000,3/18/2013,UC6a8lp6vaCMhUVXPyynhjUA,Student,F
studywithinspo,52,15467094,270000,3/24/2013,UC5ZSM0kOGhtLdtZiqM2noWw,Aesthetic,M
Alicia Wong,103,14364488,197000,3/18/2017,UCq1tIu-F5fRVdRZ1DHTXc3Q,Vlogger,F
Liam Porritt,150,20131637,244000,4/8/2014,UCrMptz_4sBQHf6V8pNgHGgQ,Student,M
studytee,56,71526030,1210000,9/13/2017,UCc1QflC90Nkf_SDBZwJScDQ,Aesthetic,F
Mariana Vieira,340,60054937,769000,3/16/2015,UCEHp_b02I0GvTYCBPX_0w1g,Expert,F
Study With Jess,525,28190600,412000,1/14/2015,UCLE6bDbrn5kNG94-1VlH_XA,Expert,F
