title,view_count,likes,comments,upload_date,channel_name,channel_id,video_length,url,raw_title,doc
100% On Every Test,491718,30270,848,2023-09-12,The Math Sorcerer,UCr7lmzIk63PZnBw3bezl-Mg,00:14:29,https://www.youtube.com/watch?v=TBbUBgp0-do,100_on_every_test,0
10 Amazing LIFE HACKS For Studying!,150638,6192,404,2016-02-23,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:03:48,https://www.youtube.com/watch?v=T6JrwxLWZEw,10_amazing_life_hacks_for_studying,1
10 Back To School STUDY HACKS!,179522,5943,423,2016-08-31,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:05:16,https://www.youtube.com/watch?v=HRDw_PntqkU,10_back_to_school_study_hacks,2
10 effective study tips | studytee,1126953,32294,805,2018-03-04,studytee,UCc1QflC90Nkf_SDBZwJScDQ,00:07:11,https://www.youtube.com/watch?v=MJqmgoAF96U,10_effective_study_tips_studytee,3
10 habits of effective students 📚,205744,11133,320,2019-05-21,studyquill,UC-ZQaezPlUTe94-7buWtIfA,00:07:14,https://www.youtube.com/watch?v=oxnELgYDX1M,10_habits_of_effective_students_,4
10 Habits of Highly Successful Students!,117362,4193,260,2017-09-21,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:09:12,https://www.youtube.com/watch?v=hZYC1TBmt-I,10_habits_of_highly_successful_students,5
10 Hacks for how to improve your reading skills,42411,1261,112,2017-12-11,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:06:06,https://www.youtube.com/watch?v=CO5kKQ91H6Q,10_hacks_for_how_to_improve_your_reading_skills,6
10 HILARIOUS Homework Excuses | Study With Jess |,53441,2412,250,2016-05-31,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:52,https://www.youtube.com/watch?v=ZCzNzvyfhJM,10_hilarious_homework_excuses_study_with_jess_,7
10 Keys to a LIMITLESS Brain | Jim Kwik,45886,2315,88,2023-01-27,Jim Kwik,UCIm6PH37h6wUs_q7GR0LNtw,00:18:28,https://www.youtube.com/watch?v=H5KSV-P9BdI,10_keys_to_a_limitless_brain_jim_kwik,8
10 Life Hacks To Cut Your Morning Routine In HALF!,116090,3336,184,2017-01-03,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:07:13,https://www.youtube.com/watch?v=wOZUwJvYZuE,10_life_hacks_to_cut_your_morning_routine_in_half,9
10 Mental Models for Learning,31248,1502,39,2023-01-24,Scott Young,UCDP05_kNaT6yuBI5ilxKOew,00:13:46,https://www.youtube.com/watch?v=r7gK6f1ZBRI,10_mental_models_for_learning,10
10 MUST-TRY HOMEWORK HACKS: How To Study Effectively!,348574,10833,737,2016-05-24,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:05:30,https://www.youtube.com/watch?v=POLRuMvvOZY,10_must_try_homework_hacks_how_to_study_effectively,11
10 MUST-TRY Study Break Ideas To Boost Productivity! | Study With Jess,131824,5157,311,2017-06-27,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:09:11,https://www.youtube.com/watch?v=CD0W_x029EE,10_must_try_study_break_ideas_to_boost_productivity_study_with_jess,12
10 resume writing hacks | How to get a job!,18136,829,140,2018-04-02,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:07:40,https://www.youtube.com/watch?v=tjVKV5le3oc,10_resume_writing_hacks_how_to_get_a_job,13
10 Steps to Earning Awesome Grades (While Studying Less),65171,1613,110,2015-01-08,Thomas Frank,UCG-KntY7aVnIGXYEBQvmBAQ,00:02:37,https://www.youtube.com/watch?v=YCWTiDHegAI,10_steps_to_earning_awesome_grades_while_studying_less,14
10 study habits you should start now,232377,8363,365,2019-03-29,Mariana Vieira,UCEHp_b02I0GvTYCBPX_0w1g,00:09:12,https://www.youtube.com/watch?v=yWUNgi5XGJQ,10_study_habits_you_should_start_now,15
10 Study Tips for Earning an A on Your Next Exam - College Info Geek,904042,28100,630,2015-07-31,Thomas Frank,UCG-KntY7aVnIGXYEBQvmBAQ,00:07:50,https://www.youtube.com/watch?v=jYWfiP7w5w0,10_study_tips_for_earning_an_a_on_your_next_exam_college_info_geek,16
10 study tips that *actually* work,115116,4454,90,2019-12-01,Mariana Vieira,UCEHp_b02I0GvTYCBPX_0w1g,00:06:31,https://www.youtube.com/watch?v=Et71Bzrmoe4,10_study_tips_that_actually_work,17
10 Tips To BEAT Procrastination!,79610,3493,259,2015-12-23,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:57,https://www.youtube.com/watch?v=RjQmXda6chA,10_tips_to_beat_procrastination,18
10 tips to organize digital files // back to basics,131712,2802,55,2020-03-08,Mariana Vieira,UCEHp_b02I0GvTYCBPX_0w1g,00:05:31,https://www.youtube.com/watch?v=nbQNipO315Q,10_tips_to_organize_digital_files_back_to_basics,19
10 Ways to stay organised and productive all year long!,39633,1545,126,2018-05-14,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:08:41,https://www.youtube.com/watch?v=pOzdWihWmJk,10_ways_to_stay_organised_and_productive_all_year_long,20
10 Ways To Stay Productive ALL DAY LONG! | Study With Jess,139912,4888,322,2017-07-04,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:09:23,https://www.youtube.com/watch?v=JpjGZyjm0ws,10_ways_to_stay_productive_all_day_long_study_with_jess,21
10 Websites Every Student Should Know!,612465,15791,784,2016-04-12,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:07:43,https://www.youtube.com/watch?v=pgpf4MS2OM0,10_websites_every_student_should_know,22
11 Harvard Study Tips Guaranteed to Get You Into Ivy League,187553,8217,252,2019-07-29,Hafu Go,UCXMVaxrax7RNDPdfRrXXgtQ,00:05:03,https://www.youtube.com/watch?v=mJN-jdxAGyI,11_harvard_study_tips_guaranteed_to_get_you_into_ivy_league,23
12 UNIQUE and USEFUL WEBSITES for students that aren’t JUST AESTHETIC lmao 💻,574337,31187,1239,2022-04-17,fayefilms,UCsJfDna-9xsG-NmM0kwgEkg,00:11:27,https://www.youtube.com/watch?v=5v1sa0yB450,12_unique_and_useful_websites_for_students_that_arent_just_aesthetic_lmao_,24
"13 Essential, Science-Backed Study Tips",208129,8281,271,2019-04-23,Thomas Frank,UCG-KntY7aVnIGXYEBQvmBAQ,00:12:33,https://www.youtube.com/watch?v=Bxv9lf5HjZM,13_essential_science_backed_study_tips,25
13 Study Tips: The Science of Better Learning,8187321,304748,4774,2016-10-03,Sprouts,UC-RKpEc4eE9PwJaupN91xYQ,00:05:23,https://www.youtube.com/watch?v=eVlvxHJdql8,13_study_tips_the_science_of_better_learning,26
15 study tips for science students,55212,2297,84,2019-02-01,Mariana Vieira,UCEHp_b02I0GvTYCBPX_0w1g,00:11:35,https://www.youtube.com/watch?v=52wsHAeJvH8,15_study_tips_for_science_students,27
20 pieces of advice for THIS new school year | Back To School Advice,11680,884,178,2020-07-28,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:09,https://www.youtube.com/watch?v=Ui2l35VtGAs,20_pieces_of_advice_for_this_new_school_year_back_to_school_advice,28
25 TOP EXAM TIPS (in under 5 minutes) || do your best in exams,101765,5965,0,2019-06-01,Ruby Granger,UC6a8lp6vaCMhUVXPyynhjUA,00:05:06,https://www.youtube.com/watch?v=ePts-9KyhQo,25_top_exam_tips_in_under_5_minutes_do_your_best_in_exams,29
2 Steps to Reduce Procrastination by 90% & Improve Motivation | STUDY CLINIC,23075,1291,26,2020-04-30,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:04:54,https://www.youtube.com/watch?v=l-NardIzpEg,2_steps_to_reduce_procrastination_by_90_improve_motivation_study_clinic,30
3 Easy Ways To Expand Your Skill Set FAST!,18016,720,101,2016-12-09,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:08:21,https://www.youtube.com/watch?v=ykXViRrWjRY,3_easy_ways_to_expand_your_skill_set_fast,31
3 Forgotten Studying Secrets from a 1979 Memory Expert,13159,760,57,2022-11-09,"Benjamin Keep, PhD, JD",UChY0i0rm9FSA5_M6pADke1w,00:07:03,https://www.youtube.com/watch?v=SOgSpCt3H4M,3_forgotten_studying_secrets_from_a_1979_memory_expert,32
3-Minute Mental Hack to Take Control of Your Subconscious,911843,66176,2152,2023-02-21,Colin Galen,UCpvS3EykHW--l0ogUhMEjEw,00:11:25,https://www.youtube.com/watch?v=zHECSAdJjTQ,3_minute_mental_hack_to_take_control_of_your_subconscious,33
3-Point Checklist to Create Focus On Demand | Study Clinic,33484,1799,40,2020-05-02,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:09:52,https://www.youtube.com/watch?v=-YXrTWUZKn4,3_point_checklist_to_create_focus_on_demand_study_clinic,34
3 Quick Tips To Get Better Grades!,135587,3248,217,2015-06-06,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:05:28,https://www.youtube.com/watch?v=Qi9fD8xYFz4,3_quick_tips_to_get_better_grades,35
3 Steps to Write Essays Faster and Procrastinate Less (By a Published Author),74077,4097,122,2021-10-03,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:16:40,https://www.youtube.com/watch?v=helUBfeHcCc,3_steps_to_write_essays_faster_and_procrastinate_less_by_a_published_author,36
3 Things I Learnt after 8000 Hours of Studying,1964,119,15,2023-11-29,Julian Lin,UCL5PX6xQ0KBim6eQfDU74Qw,00:06:56,https://www.youtube.com/watch?v=m-TIlNU5nYA,3_things_i_learnt_after_8000_hours_of_studying,37
3 tips on how to study effectively,2135521,100544,1154,2023-10-12,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,00:05:09,https://www.youtube.com/watch?v=TjPFZaMe2yw,3_tips_on_how_to_study_effectively,38
3 Tips to Maximise Long Study Sessions,91903,4648,154,2021-12-31,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:11:14,https://www.youtube.com/watch?v=IlmRRSp2PoU,3_tips_to_maximise_long_study_sessions,39
4 Steps to Read Difficult Texts Faster (Academic Speed Reading Comprehension),1057468,50780,634,2021-10-10,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:19:58,https://www.youtube.com/watch?v=f1k4eXELEIE,4_steps_to_read_difficult_texts_faster_academic_speed_reading_comprehension,40
4 Tips for Active Listening | Jim Kwik,38735,1968,97,2023-03-02,Jim Kwik,UCIm6PH37h6wUs_q7GR0LNtw,00:09:28,https://www.youtube.com/watch?v=QiEAzCsJdkk,4_tips_for_active_listening_jim_kwik,41
4 Tips to Read Without Losing Focus,79578,4530,104,2021-12-23,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:06:26,https://www.youtube.com/watch?v=4YF3_fw1Jko,4_tips_to_read_without_losing_focus,42
4 Ways to Ruin Your Studying Efficiency,81793,4522,191,2023-09-27,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:18:34,https://www.youtube.com/watch?v=P4_j2VggToM,4_ways_to_ruin_your_studying_efficiency,43
5 BAD STUDY HABITS to quit before back to school season // how to stop & what to do instead,598543,41372,1212,2021-08-05,studyquill,UC-ZQaezPlUTe94-7buWtIfA,00:13:03,https://www.youtube.com/watch?v=DHjoqAtJGAk,5_bad_study_habits_to_quit_before_back_to_school_season_how_to_stop_what_to_do_instead,44
5 EFFECTIVE TIME MANAGEMENT TIPS | studycollab: Alicia,39784,1588,53,2019-08-19,Alicia Wong,UCq1tIu-F5fRVdRZ1DHTXc3Q,00:12:10,https://www.youtube.com/watch?v=Hhc2lJLKd3c,5_effective_time_management_tips_studycollab_alicia,45
5 Effective tips for how to choose a career path!,93325,3009,152,2018-04-16,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:08:25,https://www.youtube.com/watch?v=eXiMfpM-nXY,5_effective_tips_for_how_to_choose_a_career_path,46
5 great note taking methods no one talks about,2479920,80356,989,2019-11-09,Mariana Vieira,UCEHp_b02I0GvTYCBPX_0w1g,00:06:36,https://www.youtube.com/watch?v=HORqBoGMDI0,5_great_note_taking_methods_no_one_talks_about,47
5 Hacks for how to learn a new language!,111920,3460,662,2018-04-30,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:29,https://www.youtube.com/watch?v=vAGCMmVj6CM,5_hacks_for_how_to_learn_a_new_language,48
5-Minute Stress Busters For LIFE! Study With Jess,35291,1511,106,2017-06-13,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:10:54,https://www.youtube.com/watch?v=DyqnwidOkMI,5_minute_stress_busters_for_life_study_with_jess,49
5 Popular But Useless Study Techniques I’m Avoiding in 2023,348555,16726,673,2022-11-15,Elizabeth Filips,UCUFFHXvzAMRSD8Bq4bJppxQ,00:18:51,https://www.youtube.com/watch?v=z222kaYOFT4,5_popular_but_useless_study_techniques_im_avoiding_in_2023,50
5 Quick Productivity Tips to Get Your Work & Studies Done Faster!,25246,998,77,2020-01-28,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:07:29,https://www.youtube.com/watch?v=2kmmssKOKJk,5_quick_productivity_tips_to_get_your_work_studies_done_faster,51
5 study habits you should start now to help Future You,992135,63167,1235,2022-01-23,UnJaded Jade,UC4-uObu-mfafJyxxZFEwbvQ,00:10:59,https://www.youtube.com/watch?v=xoZPfsAwZDE,5_study_habits_you_should_start_now_to_help_future_you,52
5 Techniques of Every Successful Student,1187416,56977,647,2020-07-07,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:21:58,https://www.youtube.com/watch?v=RJKNtXgo39o,5_techniques_of_every_successful_student,53
5 Things Students Should Know About Learning,8084,397,20,2022-05-18,"Benjamin Keep, PhD, JD",UChY0i0rm9FSA5_M6pADke1w,00:05:21,https://www.youtube.com/watch?v=6sblKJPK-BY,5_things_students_should_know_about_learning,54
5 Tips for Becoming a Top 0.1% Student,676958,32518,624,2022-12-16,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:22:05,https://www.youtube.com/watch?v=npALpfdatws,5_tips_for_becoming_a_top_01_student,55
5 Tips for Dealing with Lazy Group Project Members - College Info Geek,141054,3543,451,2016-02-13,Thomas Frank,UCG-KntY7aVnIGXYEBQvmBAQ,00:06:39,https://www.youtube.com/watch?v=NZRyDgDlvqA,5_tips_for_dealing_with_lazy_group_project_members_college_info_geek,56
5 TIPS FOR HOW TO CRAM FOR EXAMS!,253225,6413,413,2016-04-06,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:59,https://www.youtube.com/watch?v=Q69y-U-lXM4,5_tips_for_how_to_cram_for_exams,57
5 tips for how to get an internship!,8985,447,42,2018-04-09,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:06:49,https://www.youtube.com/watch?v=tSYTMx4hSLY,5_tips_for_how_to_get_an_internship,58
5 Tips for NoteTaking in University,27915,1068,76,2021-01-27,Elizabeth Filips,UCUFFHXvzAMRSD8Bq4bJppxQ,00:05:27,https://www.youtube.com/watch?v=qYxJQdIb8a0,5_tips_for_notetaking_in_university,59
5 Tips For Writing College Essays,320236,6495,450,2015-10-16,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:07:33,https://www.youtube.com/watch?v=_2QkAK55rXs,5_tips_for_writing_college_essays,60
5 WAYS TO ACE GOING BACK TO SCHOOL | Back To School 2016,83755,3657,563,2016-08-06,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:08:11,https://www.youtube.com/watch?v=CondqG8wiwk,5_ways_to_ace_going_back_to_school_back_to_school_2016,61
5 Ways to Enhance Your Work Performance to Achieve a State of Flow,6516,369,64,2020-12-15,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:10:59,https://www.youtube.com/watch?v=4ba4ycvNvjc,5_ways_to_enhance_your_work_performance_to_achieve_a_state_of_flow,62
5 Ways To Learn A New Language FAST!,223406,5743,604,2016-01-12,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:03:01,https://www.youtube.com/watch?v=K9s9R6HFxOw,5_ways_to_learn_a_new_language_fast,63
"5 Ways to Train Yourself to Be a Genius (3 Short-term, 2 Long-term)",1156098,67595,1118,2022-02-02,Justin Sung,UC2Zs9v2hL2qZZ7vsAENsg4w,00:31:46,https://www.youtube.com/watch?v=3znAl0QH1eE,5_ways_to_train_yourself_to_be_a_genius_3_short_term_2_long_term,64
5 WAYS TO USE FLASHCARDS | studycollab: alicia,533192,15464,213,2018-04-09,Alicia Wong,UCq1tIu-F5fRVdRZ1DHTXc3Q,00:08:36,https://www.youtube.com/watch?v=H67INevrLg4,5_ways_to_use_flashcards_studycollab_alicia,65
5 Ways Top Students Study That You (probably) Don't,447489,23037,290,2023-01-23,Elizabeth Filips,UCUFFHXvzAMRSD8Bq4bJppxQ,00:14:33,https://www.youtube.com/watch?v=FzONG60QwzE,5_ways_top_students_study_that_you_probably_dont,66
6 EASY Tricks to MAX your GPA,29891,1339,42,2021-10-21,wAmy,UCb9fs9s67BXlX7rXVzRf5cQ,00:07:58,https://www.youtube.com/watch?v=Og2a8IWdL9g,6_easy_tricks_to_max_your_gpa,67
"6 terrible study habits to quit, like, yesterday",2714238,159361,2425,2020-11-10,studyquill,UC-ZQaezPlUTe94-7buWtIfA,00:14:54,https://www.youtube.com/watch?v=SIswBsRpwXw,6_terrible_study_habits_to_quit_like_yesterday,68
6 tips to stay 100% focused while studying,15710,957,42,2023-10-28,Han Zhango,UCvyaZhkGWT2qvBRsta2jBgQ,00:06:02,https://www.youtube.com/watch?v=7byDTAQEu3c,6_tips_to_stay_100_focused_while_studying,69
"72 hour STUDY WITH ME (how i stopped procrastinating, self-learning)",171906,8197,185,2022-02-12,Annie Long,UCZ1FakYmxc5AY4naNIybwvg,00:08:37,https://www.youtube.com/watch?v=_X-Pz1wP3i4,72_hour_study_with_me_how_i_stopped_procrastinating_self_learning,70
7 Easy Tips For How To Avoid Study Burnout!,35338,1424,178,2015-12-02,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:05:09,https://www.youtube.com/watch?v=NB2gykRh_uA,7_easy_tips_for_how_to_avoid_study_burnout,71
7 HACKS TO HELP YOU READ MORE!,30099,1322,127,2018-03-12,Study With Jess,UCLE6bDbrn5kNG94-1VlH_XA,00:04:01,https://www.youtube.com/watch?v=OzCfGWoG4f8,7_hacks_to_help_you_read_more,72
